Size,UnsortedArray,SortedArray,UnsortedSLL,SortedSLL,UnsortedDLL,SortedDLL
1000,2e-06,0.000779,8e-06,7e-06,8e-06,8e-06
2000,2e-06,0.000938,5e-06,4e-06,4e-06,5e-06
3000,1e-06,0.000965,3e-06,3e-06,4e-06,3e-06
4000,0,0.001058,2e-06,2e-06,2e-06,2e-06
5000,1e-06,0.001321,3e-06,2e-06,3e-06,3e-06
6000,1e-06,0.001578,1e-06,2e-06,3e-06,2e-06
7000,1e-06,0.001853,1e-06,1e-06,2e-06,2e-06
8000,1e-06,0.002166,3e-06,1e-06,2e-06,2e-06
9000,0,0.002371,2e-06,1e-06,1e-06,3e-06
10000,0,0.002729,2e-06,2e-06,2e-06,2e-06
11000,0,0.003032,2e-06,2e-06,3e-06,2e-06
12000,0,0.003246,2e-06,2e-06,3e-06,2e-06
13000,1e-06,0.003511,2e-06,2e-06,2e-06,2e-06
14000,1e-06,0.003783,1e-06,2e-06,3e-06,2e-06
15000,0,0.004052,3e-06,2e-06,2e-06,2e-06
16000,0,0.004323,1e-06,2e-06,3e-06,2e-06
17000,0,0.004594,3e-06,2e-06,2e-06,2e-06
18000,0,0.004863,1e-06,2e-06,2e-06,2e-06
19000,0,0.005133,1e-06,1e-06,2e-06,2e-06
20000,0,0.005403,3e-06,2e-06,2e-06,2e-06
21000,1e-06,0.005676,2e-06,1e-06,2e-06,2e-06
22000,0,0.005942,2e-06,2e-06,2e-06,2e-06
23000,0,0.006213,1e-05,2e-06,2e-06,2e-06
24000,1e-06,0.006532,1e-06,2e-06,3e-06,2e-06
25000,1e-06,0.006757,7e-06,1e-06,2e-06,2e-06
26000,0,0.00703,2e-06,2e-06,3e-06,2e-06
27000,0,0.007305,2e-06,2e-06,2e-06,2e-06
28000,1e-06,0.007568,2e-06,2e-06,2e-06,2e-06
29000,0,0.007839,2e-06,2e-06,2e-06,2e-06
30000,1e-06,0.008103,2e-06,3e-06,2e-06,2e-06
31000,0,0.008386,2e-06,2e-06,2e-06,2e-06
32000,1e-06,0.008682,1e-06,2e-06,2e-06,2e-06
33000,0,0.008965,1e-06,2e-06,3e-06,2e-06
34000,0,0.009237,3e-06,2e-06,2e-06,2e-06
35000,0,0.009489,2e-06,2e-06,2e-06,2e-06
36000,2e-06,0.009761,2e-06,2e-06,2e-06,3e-06
37000,1e-06,0.010034,1e-06,2e-06,3e-06,2e-06
38000,0,0.010312,2e-06,2e-06,2e-06,2e-06
39000,1e-06,0.010587,2e-06,2e-06,2e-06,2e-06
40000,1e-06,0.010857,1e-06,2e-06,2e-06,2e-06
41000,2e-06,0.011132,1e-06,2e-06,2e-06,3e-06
42000,2e-06,0.011414,2e-06,2e-06,2e-06,2e-06
43000,0,0.011919,2e-06,2e-06,3e-06,2e-06
44000,0,0.011952,1.1e-05,2e-06,1e-06,2e-06
45000,1e-06,0.012234,3e-06,2e-06,2e-06,2e-06
46000,0,0.01252,2e-06,1e-06,2e-06,2e-06
47000,1e-06,0.012824,2e-06,2e-06,2e-06,2e-06
48000,0,0.01307,1.1e-05,1e-06,2e-06,2e-06
49000,1e-06,0.013376,2e-06,2e-06,2e-06,3e-06
50000,1e-06,0.01361,2e-06,1e-06,2e-06,2e-06
