Size,UnsortedArray,SortedArray,UnsortedSLL,SortedSLL,UnsortedDLL,SortedDLL
1000,1e-06,0.000459,5e-06,4e-06,1.8e-05,1.3e-05
2000,0,0.000542,8e-06,4e-06,5e-06,5e-06
3000,0,0.000558,2e-06,2e-06,4e-06,3e-06
4000,1e-06,0.000614,3e-06,3e-06,4e-06,2e-06
5000,0,0.000766,1e-06,2e-06,1e-06,1e-06
6000,1e-06,0.000912,0,0,2e-06,3e-06
7000,1e-06,0.001063,1e-06,1e-06,1e-06,1e-06
8000,1e-06,0.001236,1e-06,1e-06,2e-06,1e-06
9000,1e-06,0.001371,1e-06,1e-06,1e-06,1e-06
10000,1e-06,0.001575,2e-06,1e-06,1e-06,1e-06
11000,0,0.001727,1e-06,1e-06,1e-06,1e-06
12000,0,0.001965,2e-06,1e-06,1e-06,1e-06
13000,0,0.002028,1e-06,1e-06,2e-06,1e-06
14000,1e-06,0.002184,2e-06,1e-06,1e-06,1e-06
15000,1e-06,0.002341,1e-06,1e-06,1e-06,1e-06
16000,1e-06,0.002496,1e-06,1e-06,1e-06,1e-06
17000,0,0.002653,1e-06,1e-06,1e-06,1e-06
18000,0,0.002808,1e-06,1e-06,1e-06,1e-06
19000,1e-06,0.002963,1e-06,1e-06,1e-06,2e-06
20000,0,0.003128,1e-06,1e-06,1e-06,2e-06
21000,1e-06,0.003277,1e-06,2e-06,1e-06,1e-06
22000,0,0.003438,2e-06,1e-06,3e-06,4e-06
23000,0,0.003601,1e-06,1e-06,2e-06,2e-06
24000,0,0.003746,1e-06,1e-06,2e-06,2e-06
25000,1e-06,0.003899,1e-06,1e-06,3e-06,3e-06
26000,0,0.004061,1e-06,2e-06,1e-06,1e-06
27000,1e-06,0.00421,0,1e-06,1e-06,1e-06
28000,0,0.004368,2e-06,1e-06,1e-06,1e-06
29000,0,0.004535,1e-06,1e-06,1e-06,1e-06
30000,0,0.004699,2e-06,1e-06,1e-06,1e-06
31000,0,0.004842,1e-06,2e-06,1e-06,2e-06
32000,0,0.005024,1e-06,1e-06,1e-06,1e-06
33000,1e-06,0.005186,2e-06,1e-06,1e-06,1e-06
34000,0,0.005364,1e-06,1e-06,1e-06,1e-06
35000,0,0.005563,1e-06,1e-06,1e-06,1e-06
36000,0,0.005705,2e-06,1e-06,1e-06,1e-06
37000,0,0.005896,1e-06,2e-06,1e-06,1e-06
38000,0,0.006053,1e-06,1e-06,2e-06,2e-06
39000,1e-06,0.006223,1e-06,1e-06,1e-06,1e-06
40000,0,0.006371,2e-06,1e-06,1e-06,1e-06
41000,0,0.006532,2e-06,1e-06,0,1e-06
42000,0,0.00669,1e-06,2e-06,1e-06,1e-06
43000,1e-06,0.006857,4e-06,2e-06,2e-06,3e-06
44000,0,0.007025,4e-06,2e-06,2e-06,2e-06
45000,6e-06,0.007239,3e-06,2e-06,2e-06,2e-06
46000,0,0.00733,2e-06,2e-06,2e-06,2e-06
47000,1e-06,0.007506,1e-06,1e-06,1e-06,1e-06
48000,0,0.007684,1e-06,1e-06,1e-06,2e-06
49000,1e-06,0.007864,1e-06,1e-06,2e-06,1e-06
50000,1e-06,0.007968,1e-06,1e-06,1e-06,1e-06
