Size,UnsortedArray,SortedArray,UnsortedSLL,SortedSLL,UnsortedDLL,SortedDLL
1000,0.000323,1e-06,0.000433,0.000291,0.000349,0.000295
2000,0.00048,1e-06,0.000476,0.000355,0.000413,0.000333
3000,0.000454,1e-06,0.000444,0.000392,0.000447,0.000515
4000,0.000508,1e-06,0.000509,0.000438,0.000509,0.000519
5000,0.000597,1e-06,0.000581,0.000498,0.001355,0.000929
6000,0.000692,0,0.000692,0.000612,0.000952,0.000751
7000,0.000807,0,0.000802,0.000699,0.001206,0.000846
8000,0.000927,1e-06,0.000927,0.000793,0.001221,0.001753
9000,0.001162,1e-06,0.001783,0.001365,0.002238,0.001461
10000,0.001168,0,0.00175,0.001683,0.001696,0.001534
11000,0.001267,1e-06,0.001459,0.001506,0.001846,0.00139
12000,0.001431,0,0.001461,0.001472,0.002096,0.002007
13000,0.001532,0,0.001575,0.001548,0.001945,0.001619
14000,0.001652,0,0.001733,0.001705,0.002508,0.001757
15000,0.001769,1e-06,0.001841,0.002,0.002235,0.001958
16000,0.001883,0,0.001961,0.001847,0.002657,0.002665
17000,0.002008,0,0.002089,0.002312,0.002469,0.002667
18000,0.002116,0,0.002206,0.002449,0.002623,0.002614
19000,0.002239,0,0.002331,0.002247,0.002771,0.002771
20000,0.002354,0,0.002454,0.002266,0.002898,0.002809
21000,0.002949,0,0.002954,0.002472,0.003233,0.00315
22000,0.002589,0,0.002824,0.00253,0.003139,0.003043
23000,0.002707,1e-06,0.002843,0.002373,0.003421,0.003164
24000,0.002844,0,0.002954,0.002447,0.003487,0.003322
25000,0.002956,0,0.003139,0.002666,0.003707,0.003645
26000,0.00308,2e-06,0.00316,0.002638,0.00374,0.003619
27000,0.003173,0,0.003319,0.002791,0.00398,0.003837
28000,0.003288,1e-06,0.003434,0.002892,0.004036,0.003977
29000,0.003407,1e-06,0.003538,0.002965,0.004238,0.004051
30000,0.003538,0,0.003685,0.003078,0.004338,0.004275
31000,0.003646,1e-06,0.003811,0.003161,0.004569,0.00428
32000,0.003773,5e-06,0.00395,0.003282,0.004653,0.004522
33000,0.003928,1e-06,0.004006,0.003357,0.004789,0.004597
34000,0.004006,0,0.00413,0.003441,0.004905,0.004785
35000,0.004152,1e-06,0.004249,0.003552,0.005137,0.004858
36000,0.004233,0,0.004386,0.003654,0.005205,0.005005
37000,0.004358,0,0.00451,0.00379,0.005429,0.005135
38000,0.004467,1e-06,0.004667,0.003844,0.005423,0.005252
39000,0.00459,0,0.00474,0.003972,0.005707,0.005345
40000,0.004706,1e-06,0.004964,0.004113,0.005787,0.005645
41000,0.00482,1e-06,0.005038,0.004197,0.006067,0.005715
42000,0.00494,0,0.005151,0.004306,0.006101,0.005879
43000,0.005067,2e-06,0.005273,0.004412,0.006285,0.005995
44000,0.005184,1e-06,0.005332,0.004487,0.006322,0.006166
45000,0.005292,0,0.00552,0.004617,0.006593,0.00636
46000,0.00541,0,0.005633,0.004711,0.006652,0.006395
47000,0.005531,0,0.005716,0.004779,0.006841,0.00653
48000,0.005642,0,0.005811,0.004869,0.006918,0.00663
49000,0.00577,0,0.006047,0.005011,0.00717,0.006782
50000,0.005874,1e-06,0.006111,0.005141,0.0073,0.007045
