Size,UnsortedArray,SortedArray,UnsortedSLL,SortedSLL,UnsortedDLL,SortedDLL
1000,0.000352,2e-06,0.000345,1e-06,0.000343,0
2000,0.000417,1e-06,0.000412,0,0.000412,1e-06
3000,0.00045,1e-06,0.000444,1e-06,0.000446,1e-06
4000,0.000486,1e-06,0.000481,1e-06,0.000506,0
5000,0.000575,0,0.000574,1e-06,0.001422,1e-06
6000,0.000689,1e-06,0.000687,1e-06,0.000948,0
7000,0.000806,0,0.000806,0,0.00123,0
8000,0.000922,0,0.000931,0,0.001223,0
9000,0.001036,0,0.00137,0,0.001995,2e-06
10000,0.001169,0,0.001756,1e-06,0.001888,1e-06
11000,0.001261,0,0.001473,1e-06,0.00196,0
12000,0.001549,0,0.001718,2e-06,0.002355,1e-06
13000,0.001528,0,0.001578,0,0.001931,0
14000,0.001654,0,0.001727,0,0.002558,1e-06
15000,0.001774,0,0.001969,1e-06,0.002274,1e-06
16000,0.001885,1e-06,0.002096,0,0.00251,0
17000,0.002001,0,0.00222,0,0.002463,1e-06
18000,0.002127,1e-06,0.002208,1e-06,0.00267,2e-06
19000,0.002237,1e-06,0.002452,1e-06,0.002771,0
20000,0.002367,1e-05,0.00245,1e-06,0.002903,1e-06
21000,0.002579,0,0.002674,0,0.00307,1e-06
22000,0.002594,6e-06,0.002725,1e-06,0.00314,1e-06
23000,0.002708,9e-06,0.002861,0,0.003362,1e-06
24000,0.002826,1e-06,0.002952,1e-06,0.003438,0
25000,0.002941,0,0.003094,1e-06,0.003696,2e-06
26000,0.003061,1e-06,0.003158,9e-06,0.003716,0
27000,0.003189,0,0.003314,0,0.003985,1e-06
28000,0.003299,1e-06,0.003433,0,0.004047,0
29000,0.003412,1e-06,0.003555,0,0.004263,0
30000,0.003532,0,0.003682,0,0.004325,2e-06
31000,0.003649,0,0.003802,0,0.004535,1e-06
32000,0.003771,1e-06,0.003914,9e-06,0.004667,1e-06
33000,0.003884,1e-06,0.004005,0,0.004778,1e-06
34000,0.004011,9e-06,0.004115,0,0.004874,0
35000,0.004142,0,0.004235,1e-06,0.005096,0
36000,0.004239,0,0.004366,0,0.00519,0
37000,0.004366,0,0.004507,0,0.005407,1e-06
38000,0.004474,2e-06,0.004609,0,0.005445,0
39000,0.004586,9e-06,0.004746,1e-06,0.005706,1e-06
40000,0.004705,1e-06,0.004906,0,0.005798,1e-06
41000,0.004858,0,0.005043,0,0.006071,0
42000,0.004951,1e-06,0.005168,0,0.006102,0
43000,0.00506,0,0.005279,1e-06,0.00633,2e-06
44000,0.00518,7e-06,0.005337,0,0.006358,0
45000,0.005298,0,0.005543,0,0.006621,2e-06
46000,0.00541,1e-06,0.005626,0,0.006652,1e-06
47000,0.005536,0,0.005699,0,0.006814,1e-06
48000,0.005649,9e-06,0.005839,1e-06,0.00692,0
49000,0.005768,0,0.006035,0,0.00715,0
50000,0.005885,0,0.006101,5e-06,0.007301,0
