Size,UnsortedArray,SortedArray,UnsortedSLL,SortedSLL,UnsortedDLL,SortedDLL
1000,0.000342,8e-06,0.000266,0.000372,0.000285,0.000371
2000,0.00041,4e-06,0.000342,0.000446,0.000345,0.000439
3000,0.000441,4e-06,0.000368,0.000483,0.000372,0.000616
4000,0.000479,3e-06,0.000405,0.000515,0.000432,0.000639
5000,0.000574,3e-06,0.000485,0.000627,0.00168,0.00082
6000,0.000692,3e-06,0.000574,0.000751,0.000968,0.001172
7000,0.0008,3e-06,0.000676,0.000878,0.001097,0.0011
8000,0.000923,4e-06,0.000789,0.00104,0.001247,0.001644
9000,0.001044,3e-06,0.001548,0.001606,0.001929,0.001693
10000,0.001167,3e-06,0.001772,0.002021,0.001558,0.00194
11000,0.001274,3e-06,0.001439,0.002077,0.001996,0.00224
12000,0.00158,5e-06,0.001862,0.00274,0.00257,0.002484
13000,0.001527,3e-06,0.001811,0.001885,0.0021,0.002143
14000,0.001645,4e-06,0.001625,0.002005,0.00218,0.002189
15000,0.001761,1.3e-05,0.001732,0.002301,0.002382,0.002368
16000,0.00188,3e-06,0.001866,0.002949,0.002428,0.002544
17000,0.001997,4e-06,0.00204,0.002727,0.002509,0.002768
18000,0.002119,4e-06,0.002149,0.003412,0.002878,0.002921
19000,0.002233,3e-06,0.002208,0.002671,0.002815,0.003122
20000,0.002349,4e-06,0.002325,0.002966,0.002955,0.003263
21000,0.00247,5e-06,0.002502,0.002957,0.003098,0.003648
22000,0.002584,4e-06,0.002584,0.00308,0.003169,0.003835
23000,0.002728,3e-06,0.002728,0.003176,0.003454,0.003677
24000,0.002819,9e-06,0.002777,0.003311,0.003487,0.003926
25000,0.002944,4e-06,0.00292,0.003495,0.003764,0.004115
26000,0.003052,1.3e-05,0.002998,0.003578,0.003783,0.004282
27000,0.003172,1.2e-05,0.00314,0.003751,0.004066,0.00444
28000,0.003289,4e-06,0.003241,0.003878,0.004071,0.004607
29000,0.003408,5e-06,0.003355,0.003992,0.004389,0.004749
30000,0.003528,4e-06,0.003474,0.004161,0.004391,0.00492
31000,0.003673,3e-06,0.003569,0.004839,0.005058,0.005127
32000,0.003798,4e-06,0.00376,0.004492,0.004752,0.005266
33000,0.003887,1.3e-05,0.003765,0.004552,0.004852,0.005435
34000,0.003994,4e-06,0.003875,0.004681,0.004956,0.005566
35000,0.00411,4e-06,0.004005,0.004814,0.005156,0.005725
36000,0.004236,4e-06,0.004195,0.005003,0.005253,0.005895
37000,0.00437,6e-06,0.004232,0.005099,0.005461,0.006045
38000,0.004492,3e-06,0.004375,0.005224,0.005518,0.006208
39000,0.004586,4e-06,0.00447,0.005401,0.005773,0.006409
40000,0.004702,5e-06,0.004671,0.00554,0.005852,0.006603
41000,0.004815,1.3e-05,0.004761,0.005688,0.00621,0.006772
42000,0.004931,5e-06,0.004903,0.005801,0.006207,0.006905
43000,0.005053,2.1e-05,0.00496,0.005971,0.006455,0.007093
44000,0.005167,1e-05,0.005115,0.006066,0.006407,0.0072
45000,0.005294,5e-06,0.005196,0.006238,0.006681,0.007417
46000,0.00541,4e-06,0.00535,0.006392,0.006737,0.00757
47000,0.005562,1.1e-05,0.005369,0.006468,0.006903,0.007689
48000,0.005684,1.1e-05,0.005504,0.006635,0.00706,0.007851
49000,0.005762,5e-06,0.005666,0.006771,0.007306,0.008055
50000,0.005915,1.2e-05,0.005796,0.00693,0.00741,0.008218
