Size,UnsortedArray,SortedArray,UnsortedSLL,SortedSLL,UnsortedDLL,SortedDLL
1000,0.000369,1e-05,0.0005,0.000444,0.000445,0.000443
2000,0.000473,5e-06,0.000391,0.000394,0.000405,0.000395
3000,0.000469,4e-06,0.000404,0.000416,0.000397,0.000528
4000,0.000483,3e-06,0.000461,0.000463,0.000442,0.000536
5000,0.000574,3e-06,0.000484,0.000492,0.001552,0.001019
6000,0.000688,2e-06,0.000571,0.000579,0.000968,0.000933
7000,0.000801,3e-06,0.000675,0.000677,0.001454,0.001085
8000,0.000918,3e-06,0.000786,0.000828,0.001241,0.001798
9000,0.001075,4e-06,0.001585,0.001401,0.001603,0.001313
10000,0.001165,4e-06,0.001817,0.001774,0.001549,0.001857
11000,0.001272,4e-06,0.001783,0.001711,0.001972,0.001919
12000,0.001411,4e-06,0.001628,0.001882,0.002202,0.001662
13000,0.001528,3e-06,0.00189,0.001549,0.001978,0.001837
14000,0.001651,3e-06,0.001675,0.002078,0.00282,0.002089
15000,0.001763,3e-06,0.001785,0.001994,0.002522,0.002369
16000,0.00188,3e-06,0.00213,0.00215,0.002409,0.002463
17000,0.001998,4e-06,0.002423,0.002415,0.002601,0.002717
18000,0.002118,3e-06,0.002083,0.002435,0.002597,0.002698
19000,0.002232,4e-06,0.002198,0.002465,0.002838,0.002827
20000,0.00235,1.1e-05,0.002407,0.002336,0.002998,0.003317
21000,0.002469,4e-06,0.002472,0.00238,0.003392,0.003761
22000,0.002585,3e-06,0.00258,0.002513,0.003195,0.003394
23000,0.002702,4e-06,0.002691,0.00262,0.003435,0.003434
24000,0.002823,4e-06,0.002787,0.002722,0.003524,0.003633
25000,0.002937,5e-06,0.002976,0.002891,0.003827,0.003747
26000,0.003075,3e-06,0.002988,0.002956,0.003813,0.003909
27000,0.003171,1.2e-05,0.003133,0.003383,0.004082,0.004053
28000,0.003288,3e-06,0.003321,0.0032,0.004097,0.004195
29000,0.003405,4e-06,0.003407,0.003328,0.004357,0.004352
30000,0.003532,1.2e-05,0.003482,0.003442,0.004447,0.004494
31000,0.003641,3e-06,0.003589,0.00352,0.004675,0.004632
32000,0.003762,5e-06,0.003708,0.003675,0.004729,0.004794
33000,0.003876,4e-06,0.003784,0.003786,0.004914,0.004932
34000,0.003992,4e-06,0.003952,0.003872,0.005133,0.005072
35000,0.004109,4e-06,0.004019,0.003969,0.005217,0.00523
36000,0.004273,3e-06,0.004158,0.004078,0.005336,0.005374
37000,0.004358,3e-06,0.004261,0.004188,0.00552,0.005527
38000,0.004475,4e-06,0.004379,0.004303,0.00553,0.005693
39000,0.004582,4e-06,0.004522,0.004421,0.005905,0.005866
40000,0.0047,5e-06,0.004665,0.004562,0.00587,0.005989
41000,0.004825,4e-06,0.004749,0.004676,0.006233,0.006174
42000,0.004931,1.3e-05,0.004876,0.004856,0.006196,0.00634
43000,0.005104,4e-06,0.00498,0.004942,0.006506,0.006454
44000,0.005196,4e-06,0.005069,0.004964,0.006496,0.006595
45000,0.005287,3e-06,0.005227,0.005144,0.0067,0.006774
46000,0.005402,1.2e-05,0.005342,0.005283,0.006755,0.006875
47000,0.005528,4e-06,0.005386,0.005361,0.007053,0.007053
48000,0.005652,4e-06,0.005539,0.005473,0.007157,0.007219
49000,0.005761,4e-06,0.00565,0.005607,0.007305,0.007339
50000,0.005873,4e-06,0.005825,0.005695,0.007501,0.007479
