Size,UnsortedArray,SortedArray,UnsortedSLL,SortedSLL,UnsortedDLL,SortedDLL
1000,0.000529,7e-06,0.000433,2e-06,0.00043,1e-06
2000,0.00062,4e-06,0.000516,2e-06,0.000541,1e-06
3000,0.000699,3e-06,0.000567,1e-06,0.000551,1e-06
4000,0.000719,3e-06,0.000594,1e-06,0.000585,0
5000,0.000868,3e-06,0.000723,0,0.001536,1e-06
6000,0.001032,2e-06,0.000859,1e-06,0.001087,1e-06
7000,0.001208,3e-06,0.001006,1e-06,0.001388,0
8000,0.001384,3e-06,0.001169,2e-06,0.001422,1e-06
9000,0.001568,3e-06,0.001662,0,0.001969,0
10000,0.001724,3e-06,0.001952,1e-06,0.001906,1e-06
11000,0.001907,3e-06,0.002072,0,0.002029,0
12000,0.00242,4e-06,0.002351,1e-06,0.002246,1e-06
13000,0.002291,4e-06,0.002186,1e-06,0.002258,1e-06
14000,0.002474,4e-06,0.002417,0,0.00244,2e-06
15000,0.002655,4e-06,0.002457,0,0.002603,2e-06
16000,0.002823,3e-06,0.002628,1e-06,0.002763,1e-06
17000,0.003002,3e-06,0.002872,1e-06,0.002905,1e-06
18000,0.003181,3e-06,0.003032,1e-06,0.003046,0
19000,0.003357,3e-06,0.003156,0,0.003256,0
20000,0.003543,1.2e-05,0.003338,1e-05,0.003446,1e-06
21000,0.003713,3e-06,0.003522,0,0.003577,1e-06
22000,0.003898,1.2e-05,0.003611,1e-06,0.003701,1.8e-05
23000,0.003947,2.1e-05,0.003672,1e-06,0.003867,2e-06
24000,0.004246,4e-06,0.003961,0,0.004036,1e-06
25000,0.004411,3e-06,0.004117,0,0.004314,1e-05
26000,0.004588,4e-06,0.004318,9e-06,0.004376,0
27000,0.004772,3e-06,0.004402,0,0.004655,2e-06
28000,0.004939,1.2e-05,0.004573,1e-06,0.004741,0
29000,0.005114,4e-06,0.004849,1e-06,0.004955,0
30000,0.005298,9e-06,0.005001,0,0.0051,0
31000,0.005862,3e-06,0.005357,6e-06,0.005352,1e-05
32000,0.005652,5e-06,0.005242,0,0.005427,1e-06
33000,0.005838,4e-06,0.005533,0,0.005605,1e-06
34000,0.006049,5e-06,0.005628,0,0.005748,1e-06
35000,0.006181,4e-06,0.005733,0,0.005955,0
36000,0.006502,4e-06,0.005905,0,0.006081,0
37000,0.006541,4e-06,0.006122,0,0.006365,0
38000,0.006709,1.2e-05,0.006336,0,0.006396,1e-06
39000,0.006897,4e-06,0.006475,0,0.006655,1e-06
40000,0.007103,5e-06,0.006552,0,0.006782,0
41000,0.007241,5e-06,0.006718,1e-06,0.007074,0
42000,0.007419,5e-06,0.006922,1e-06,0.007133,2e-06
43000,0.007617,1.1e-05,0.007119,0,0.007392,1e-06
44000,0.00776,5e-06,0.007262,2e-06,0.007424,1e-06
45000,0.007939,6e-06,0.007363,1e-06,0.007711,0
46000,0.008124,5e-06,0.007577,0,0.007826,2e-06
47000,0.00833,5e-06,0.007771,6e-06,0.007975,1e-06
48000,0.008474,4e-06,0.007939,2e-06,0.008128,0
49000,0.008644,5e-06,0.008041,8e-06,0.008376,1e-06
50000,0.008828,5e-06,0.008156,0,0.008543,0
