Size,UnsortedArray,SortedArray,UnsortedSLL,SortedSLL,UnsortedDLL,SortedDLL
1000,0.003991,0.000113,0.004713,0.000010,0.002915,0.000009
2000,0.006317,0.000047,0.004401,0.000008,0.004055,0.000006
3000,0.006503,0.000037,0.006249,0.000005,0.004741,0.000005
4000,0.006694,0.000029,0.006416,0.000003,0.005607,0.000004
5000,0.006947,0.000029,0.005532,0.000004,0.012688,0.000004
6000,0.007235,0.000025,0.007387,0.000003,0.014917,0.000003
7000,0.008065,0.000024,0.007709,0.000003,0.015542,0.000003
8000,0.009297,0.000024,0.009647,0.000003,0.015860,0.000003
9000,0.010598,0.000029,0.016268,0.000003,0.015529,0.000003
10000,0.011789,0.000027,0.013908,0.000003,0.019069,0.000003
11000,0.012713,0.000026,0.019088,0.000003,0.017243,0.000004
12000,0.013902,0.000026,0.020287,0.000003,0.021332,0.000003
13000,0.014863,0.000027,0.017274,0.000003,0.023799,0.000003
14000,0.016007,0.000027,0.021666,0.000003,0.023049,0.000003
15000,0.017197,0.000026,0.021096,0.000004,0.026137,0.000003
16000,0.018463,0.000026,0.022300,0.000003,0.026698,0.000003
17000,0.019626,0.000029,0.021262,0.000003,0.027342,0.000003
18000,0.020861,0.000029,0.022708,0.000003,0.027780,0.000003
19000,0.021780,0.000028,0.020585,0.000003,0.032346,0.000004
20000,0.022870,0.000029,0.022717,0.000003,0.030984,0.000003
21000,0.024098,0.000029,0.023526,0.000003,0.030614,0.000003
22000,0.025170,0.000029,0.025092,0.000003,0.032774,0.000003
23000,0.026291,0.000036,0.029430,0.000003,0.035298,0.000003
24000,0.027544,0.000028,0.028770,0.000003,0.036187,0.000003
25000,0.028841,0.000029,0.031261,0.000003,0.038889,0.000003
26000,0.030618,0.000042,0.033679,0.000003,0.040419,0.000003
27000,0.031765,0.000031,0.032703,0.000003,0.040005,0.000004
28000,0.032269,0.000029,0.035995,0.000004,0.041728,0.000003
29000,0.033395,0.000030,0.036249,0.000003,0.043321,0.000003
30000,0.035023,0.000029,0.039419,0.000003,0.043831,0.000011
31000,0.036420,0.000031,0.036338,0.000003,0.044307,0.000005
32000,0.037026,0.000029,0.040259,0.000003,0.047538,0.000003
33000,0.038393,0.000041,0.039848,0.000003,0.048253,0.000003
34000,0.040255,0.000033,0.042956,0.000003,0.049383,0.000003
35000,0.041140,0.000048,0.038784,0.000003,0.049917,0.000003
36000,0.042452,0.000033,0.044517,0.000003,0.052374,0.000003
37000,0.043813,0.000032,0.046090,0.000003,0.053645,0.000003
38000,0.044988,0.000038,0.044382,0.000004,0.055227,0.000003
39000,0.045249,0.000032,0.047039,0.000003,0.055573,0.000003
40000,0.047247,0.000033,0.045596,0.000003,0.057967,0.000003
41000,0.048569,0.000032,0.047992,0.000003,0.059843,0.000003
42000,0.049611,0.000032,0.047082,0.000003,0.060294,0.000003
43000,0.050920,0.000032,0.047572,0.000003,0.061983,0.000003
44000,0.051811,0.000033,0.049757,0.000003,0.062558,0.000004
45000,0.052989,0.000032,0.052723,0.000003,0.065486,0.000004
46000,0.054433,0.000032,0.053408,0.000004,0.068616,0.000004
47000,0.055471,0.000032,0.053786,0.000003,0.068763,0.000003
48000,0.056669,0.000038,0.055021,0.000003,0.070528,0.000003
49000,0.057951,0.000033,0.055892,0.000003,0.072799,0.000004
50000,0.059045,0.000033,0.058200,0.000003,0.072454,0.000003
