K,Sequential Merge,Pairwise Merge
2,0.000042,0.000046
3,0.000081,0.000095
4,0.000108,0.000122
5,0.000159,0.000179
6,0.000189,0.000210
7,0.000237,0.000244
8,0.000289,0.000298
9,0.000461,0.000510
10,0.000548,0.000554
11,0.000602,0.000596
12,0.000683,0.000672
13,0.000797,0.000750
14,0.000853,0.000690
15,0.000819,0.000751
16,0.000905,0.000827
17,0.000988,0.000787
18,0.000956,0.000824
19,0.001051,0.000871
20,0.001159,0.000930
21,0.001120,0.000912
22,0.001180,0.000904
23,0.001264,0.000966
24,0.001323,0.000912
25,0.001326,0.000950
26,0.001433,0.001025
27,0.001506,0.000953
28,0.001483,0.001002
29,0.001590,0.000994
30,0.001593,0.001034
31,0.001664,0.000998
32,0.001672,0.001056
