Size,MergeSort,ModifiedMergeSort
1000,0.000425,0.000427
2000,0.000791,0.000911
3000,0.001129,0.001154
4000,0.001411,0.001419
5000,0.001667,0.002013
6000,0.002045,0.002191
7000,0.001983,0.001873
8000,0.001079,0.001129
9000,0.002029,0.002153
10000,0.001385,0.001940
11000,0.002020,0.001939
12000,0.002465,0.002494
13000,0.002436,0.002338
14000,0.002418,0.002688
15000,0.002590,0.002804
16000,0.002602,0.002845
17000,0.002731,0.002995
18000,0.002681,0.002998
19000,0.002705,0.003023
20000,0.002747,0.003065
21000,0.002852,0.003110
22000,0.002858,0.003173
23000,0.002938,0.003211
24000,0.002939,0.003311
25000,0.003123,0.003444
26000,0.003214,0.003590
27000,0.003451,0.003701
28000,0.003467,0.003780
29000,0.003611,0.003959
30000,0.003715,0.004081
31000,0.003875,0.004295
32000,0.004015,0.004383
33000,0.004098,0.004578
34000,0.004294,0.004740
35000,0.004504,0.005002
36000,0.004577,0.005145
37000,0.004876,0.005324
38000,0.005066,0.005444
39000,0.004976,0.005568
40000,0.005057,0.005747
41000,0.005178,0.005893
42000,0.005401,0.006061
43000,0.005459,0.006187
44000,0.005643,0.006419
45000,0.005739,0.006676
46000,0.005880,0.006704
47000,0.005986,0.006888
48000,0.006113,0.007151
49000,0.006224,0.007225
50000,0.006387,0.007375
